year_or_quarter,vehicle_stock,source,locator
2010,8671474,Cervigni et al. (2013) World Bank,Table 22.4 base year (2005 census uplift)
2017Q1,11458370,NBS Road Transport Data,Q1 2017
2017Q3,11547236,NBS Road Transport Data,Q3 2017 (validation only)
2018Q1,11653871,NBS Road Transport Data,Q1 2018 (validation only)
2018Q4,11826033,NBS Road Transport Data,Q4 2018; https://nigerianstat.gov.ng/elibrary/read/903
2020,17647653,Cervigni et al. (2013) projection,Table 22.4 (comparison only)
2030,33900720,Cervigni et al. (2013) projection,Table 22.4 (comparison only)
2035,44791470,Cervigni et al. (2013) projection,Table 22.4; defines Scenario A growth rate
